Player,Position,Age,Weight,Height,Year,Team
Dan Goggin,center,27,1.88,97,22.23,Munster
Malakai Fekitoa,center,30,1.87,100,22.23,Munster
Rory Scannell,center,28,1.79,96,22.23,Munster
Shane Daly,center,25,1.91,92,22.23,Munster
Andrew Conway,winger,31,1.8,91,22.23,Munster
Calvin Nash,winger,25,1.8,90,22.23,Munster
Keith Earls,winger,35,1.8,90,22.23,Munster
Liam Coombes,winger,25,1.91,90,22.23,Munster
Simon Zebo,winger,32,1.88,94,22.23,Munster
Mike Haley,fullback,28,1.91,94,22.23,Munster
Ben Warren,prop,22,1.85,118,22.23,Ospreys
Gareth Thomas,prop,29,1.88,118,22.23,Ospreys
Garyn Phillips,prop,21,1.83,113,22.23,Ospreys
Nicky Smith,prop,28,1.83,116,22.23,Ospreys
Rhys Henry,prop,24,1.73,114,22.23,Ospreys
Tom Botha,prop,32,1.79,110,22.23,Ospreys
Tomas Francis,prop,30,1.86,135,22.23,Ospreys
Dewi Lake,hooker,23,1.85,110,22.23,Ospreys
Elvis Taione,hooker,39,1.8,112,22.23,Ospreys
Sam Parry,hooker,30,1.86,114,22.23,Ospreys
Scott Baldwin,hooker,34,1.9,114,22.23,Ospreys
Adam Beard,lock,26,2.03,117,22.23,Ospreys
Alun Wyn jones,lock,37,1.98,119,22.23,Ospreys
Bradley Davies,lock,35,1.98,122,22.23,Ospreys
Jack Regan,lock,25,1.99,114,22.23,Ospreys
Rhys Davies,lock,23,1.97,116,22.23,Ospreys
Will Griffiths,lock,23,1.93,106,22.23,Ospreys
Dan Lydiate,back row,34,1.94,115,22.23,Ospreys
Ethan Roots,back row,24,1.88,110,22.23,Ospreys
Jac Morgan,back row,22,1.8,102,22.23,Ospreys
Justin Tipuric,back row,33,1.88,107,22.23,Ospreys
Morgan Morris,back row,24,1.83,102,22.23,Ospreys
Sam Cross,back row,30,1.9,100,22.23,Ospreys
Sam Moore,back row,24,1.98,110,22.23,Ospreys
Will Hickey,back row,20,1.91,103,22.23,Ospreys
Harri Morgan,scrum-half,22,1.77,84,22.23,Ospreys
Matthew Aubrey,scrum-half,25,1.68,85,22.23,Ospreys
Reuben Morgan-williams,scrum-half,24,1.8,85,22.23,Ospreys
Rhys Webb,scrum-half,33,1.83,93,22.23,Ospreys
Cai Evans,fly-half,23,1.85,84,22.23,Ospreys
Gareth Anscombe,fly-half,31,1.83,90,22.23,Ospreys
Jack Walsh,fly-half,23,1.84,88,22.23,Ospreys
Stephen Myler,fly-half,38,1.8,95,22.23,Ospreys
Joe Hawkins,center,20,1.83,99,22.23,Ospreys
Kieran Williams,center,25,1.78,79,22.23,Ospreys
Mike Collins,center,29,1.86,99,22.23,Ospreys
Osian Knott,center,22,1.88,103,22.23,Ospreys
Owen Watkin,center,25,1.88,112,22.23,Ospreys
Tiaan Thomas-wheeler,center,22,1.91,100,22.23,Ospreys
Alex Cuthbert,winger,32,1.98,106,22.23,Ospreys
George North,winger,30,1.94,109,22.23,Ospreys
Keelan Giles,winger,24,1.73,80,22.23,Ospreys
Luke Morgan,winger,30,1.75,81,22.23,Ospreys
Daniel Evans,fullback,33,1.83,93,22.23,Ospreys
Mat Protheroe,fullback,26,1.81,81,22.23,Ospreys
Max Nagy,fullback,26,1.93,95,22.23,Ospreys
Alex Jeffries,prop,27,1.93,127,22.23,Scarlets
Javan Sebastian,prop,28,1.77,123,22.23,Scarlets
Kemsley Mathias,prop,23,1.85,121,22.23,Scarlets
Phil Price,prop,33,1.85,115,22.23,Scarlets
Samson Lee,prop,29,1.8,115,22.23,Scarlets
Steff Thomas,prop,25,1.83,122,22.23,Scarlets
Willgriff John,prop,29,1.91,127,22.23,Scarlets
Wyn Jones,prop,30,1.84,114,22.23,Scarlets
Dafydd Hughes,hooker,26,1.79,103,22.23,Scarlets
Ken Owens,hooker,35,1.85,109,22.23,Scarlets
Ryan Elias,hooker,27,1.87,110,22.23,Scarlets
Shaun Evans,hooker,26,1.83,103,22.23,Scarlets
Taylor Davies,hooker,27,1.84,108,22.23,Scarlets
Griff Evans,lock,,1.98,110,22.23,Scarlets
Jac Price,lock,22,1.98,114,22.23,Scarlets
Josh Helps,lock,27,1.97,115,22.23,Scarlets
Lewis Rawlins,lock,32,1.99,117,22.23,Scarlets
Morgan Jones,lock,23,2,112,22.23,Scarlets
Sam Lousi,lock,31,1.99,122,22.23,Scarlets
Tom Price,lock,29,2.03,117,22.23,Scarlets
Aaron Shingler,back row,35,1.97,110,22.23,Scarlets
Blade Thomson,back row,31,1.98,110,22.23,Scarlets
Carwyn Tuipulotu,back row,21,1.88,125,22.23,Scarlets
Dan Davis,back row,24,1.82,101,22.23,Scarlets
Iestyn Rees,back row,23,1.89,110,22.23,Scarlets
Iwan Shenton,back row,22,1.93,106,22.23,Scarlets
Josh Macleod,back row,25,1.89,110,22.23,Scarlets
Sione Kalamafoni,back row,34,1.96,120,22.23,Scarlets
Tomás Lezana,back row,28,1.88,104,22.23,Scarlets
Vaea Fifita,back row,30,1.96,111,22.23,Scarlets
Dane Blacker,scrum-half,24,1.78,78,22.23,Scarlets
Gareth Davies,scrum-half,32,1.78,88,22.23,Scarlets
Kieran Hardy,scrum-half,26,1.84,88,22.23,Scarlets
Dan Jones,fly-half,26,1.83,88,22.23,Scarlets
Rhys Patchell,fly-half,29,1.9,94,22.23,Scarlets
Sam Costelow,fly-half,21,1.75,83,22.23,Scarlets
Ioan Nicholas,center,24,1.82,92,22.23,Scarlets
Joe Roberts,center,22,1.82,96,22.23,Scarlets
Johnny Williams,center,25,1.91,105,22.23,Scarlets
Jonathan Davies,center,34,1.86,104,22.23,Scarlets
Scott Williams,center,32,1.87,100,22.23,Scarlets
Corey Baldwin,winger,23,1.83,99,22.23,Scarlets
Johnny Mcnicholl,winger,32,1.87,96,22.23,Scarlets
Ryan Conbeer,winger,23,1.77,91,22.23,Scarlets
Steff Evans,winger,28,1.82,95,22.23,Scarlets
Tom Rogers,winger,23,1.85,87,22.23,Scarlets
Leigh Halfpenny,fullback,33,1.78,85,22.23,Scarlets
Andy Warwick,prop,31,1.78,116,22.23,Ulster
Callum Reid,prop,23,1.83,118,22.23,Ulster
Eric O'sullivan,prop,26,1.86,118,22.23,Ulster
Gareth Milasinovich,prop,26,1.91,134,22.23,Ulster
